Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Outlet_Age,Item_Visibility_bins,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Item_Type_Combined_Drinks,Item_Type_Combined_Food,Item_Type_Combined_Non-Consumable,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
FDU02,13.35,2,230.5352,OUT035,2748.4224,14,Viz,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
FDN22,18.85,0,250.8724,OUT013,3775.086,31,High Viz,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDW12,12.792854228644991,1,144.5444,OUT027,4064.0432,33,Low Viz,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
NCB30,14.6,1,196.5084,OUT035,1587.2672,14,Low Viz,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDC37,12.792854228644991,1,107.6938,OUT019,214.3876,33,Low Viz,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
FDR28,13.85,1,165.021,OUT046,4078.025,21,Low Viz,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
NCD06,13.0,2,45.906,OUT017,838.908,11,Viz,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
FDV10,7.645,2,42.3112,OUT035,1065.28,14,Viz,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
DRJ59,11.65,1,39.1164,OUT013,308.9312,31,Low Viz,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
FDE51,5.925,0,45.5086,OUT010,178.4344,20,High Viz,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
FDC14,12.792854228644991,2,43.6454,OUT019,125.8362,33,Viz,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
FDV38,19.25,0,55.7956,OUT010,163.7868,20,High Viz,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
NCS17,18.6,2,96.4436,OUT018,2741.7644,9,Viz,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDP33,18.7,3,256.6672,OUT018,3068.0064,9,,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDO23,17.85,3,93.1436,OUT045,2174.5028,16,,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
DRH01,17.5,2,174.8738,OUT046,2085.2856,21,Viz,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
NCX29,10.0,2,146.7102,OUT049,3791.0652,19,Viz,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
FDV20,12.792854228644991,1,128.0678,OUT027,2797.6916,33,Low Viz,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
DRZ11,8.85,2,122.5388,OUT018,1609.9044,9,Viz,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
FDX10,12.792854228644991,2,36.9874,OUT027,388.1614,33,Viz,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
FDB34,12.792854228644991,1,87.6198,OUT027,2180.495,33,Low Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDU02,13.35,2,230.6352,OUT046,3435.528,21,Viz,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FDK43,9.8,1,126.002,OUT013,2150.534,31,Low Viz,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
FDA46,13.6,2,192.9136,OUT049,2527.3768,19,Viz,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FDC02,21.35,2,259.9278,OUT018,6768.5228,9,Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDL50,12.15,1,126.5046,OUT013,373.5138,31,Low Viz,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDM39,6.42,2,178.1002,OUT010,358.2004,20,Viz,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
NCP05,19.6,3,153.3024,OUT045,2428.8384,16,,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
FDV49,10.0,1,265.2226,OUT045,5815.0972,16,Low Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDL12,15.85,2,60.622,OUT046,2576.646,21,Viz,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
NCL17,7.39,2,143.8812,OUT046,3134.5864,21,Viz,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
FDM40,10.195,0,141.5154,OUT013,850.8924,31,High Viz,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
FDR13,9.895,1,117.0492,OUT013,810.9444,31,Low Viz,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDA43,10.895,2,196.3794,OUT017,3121.2704,11,Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
NCP18,12.15,1,151.4708,OUT017,4815.0656,11,Low Viz,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
FDK21,7.905,1,249.0408,OUT018,6258.52,9,Low Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
NCX54,9.195,1,106.1622,OUT045,2117.244,16,Low Viz,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
DRK35,8.365,2,38.0506,OUT049,796.9626,19,Viz,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
FDY21,15.1,0,194.511,OUT046,4910.275,21,High Viz,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FDI26,12.792854228644991,1,180.0344,OUT019,892.172,33,Low Viz,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
FDM20,10.0,3,246.9144,OUT018,3185.1872,9,,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDV27,7.97,1,87.3514,OUT045,1062.6168,16,Low Viz,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
FDF09,12.792854228644991,1,38.2848,OUT027,484.7024,33,Low Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDY40,12.792854228644991,0,51.0692,OUT019,147.8076,33,High Viz,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
FDY45,12.792854228644991,1,255.8356,OUT027,2543.356,33,Low Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDH19,19.35,1,172.5738,OUT035,4865.6664,14,Low Viz,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
FDZ03,13.65,2,186.024,OUT045,1118.544,16,Viz,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
DRH37,17.6,1,164.8526,OUT045,2302.3364,16,Low Viz,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
NCI17,8.645,0,95.841,OUT046,2027.361,21,High Viz,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
FDJ58,15.6,2,170.1764,OUT046,3435.528,21,Viz,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
FDL12,15.85,2,59.222,OUT013,599.22,31,Viz,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDH35,18.25,3,164.7526,OUT045,4604.6728,16,,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDG02,7.855,1,189.6188,OUT017,2285.0256,11,Low Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
NCZ18,7.825,0,254.3698,OUT049,5580.7356,19,High Viz,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
FDC29,8.39,1,114.0176,OUT046,2290.352,21,Low Viz,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
FDQ10,12.85,1,172.3422,OUT049,1207.0954,19,Low Viz,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FDN48,12.792854228644991,2,89.9804,OUT019,643.1628,33,Viz,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
FDL04,19.0,2,104.9622,OUT017,1587.933,11,Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDV25,5.905,3,222.5456,OUT045,5305.0944,16,,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDD58,7.76,1,101.87,OUT046,1697.79,21,Low Viz,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FDN04,11.8,1,180.3344,OUT046,1427.4752,21,Low Viz,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
FDV45,16.75,1,187.9556,OUT018,4693.89,9,Low Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDR12,12.792854228644991,1,171.3764,OUT027,3091.9752,33,Low Viz,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
FDG20,15.5,2,177.0028,OUT017,2479.4392,11,Viz,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
FDZ55,6.055,1,160.992,OUT035,2716.464,14,Low Viz,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
FDQ49,12.792854228644991,1,155.963,OUT027,3285.723,33,Low Viz,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
FDN33,6.305,2,95.6436,OUT046,661.8052,21,Viz,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
FDN27,20.85,1,117.2808,OUT049,1523.3504,19,Low Viz,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FDW20,20.75,1,122.173,OUT010,369.519,20,Low Viz,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
DRG27,8.895,2,39.9138,OUT049,690.4346,19,Viz,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
DRI25,19.6,1,55.1614,OUT045,1381.535,16,Low Viz,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
FDA44,19.7,1,57.893,OUT035,622.523,14,Low Viz,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
NCR17,9.8,1,114.5492,OUT035,1274.3412,14,Low Viz,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDU04,12.792854228644991,1,120.0414,OUT019,487.3656,33,Low Viz,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
FDF41,12.15,0,246.046,OUT049,1231.73,19,High Viz,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FDB56,8.75,2,187.4556,OUT035,3755.112,14,Viz,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
NCP18,12.792854228644991,1,149.9708,OUT027,4363.6532,33,Low Viz,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDB56,8.75,2,187.8556,OUT046,1314.2892,21,Viz,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
FDT28,13.3,1,151.0708,OUT045,1805.6496,16,Low Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDD10,12.792854228644991,1,178.5344,OUT027,2854.9504,33,Low Viz,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
FDW57,8.31,2,179.1028,OUT049,3896.2616,19,Viz,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
DRB48,16.75,1,38.7822,OUT013,667.7974,31,Low Viz,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
FDP09,19.75,1,212.0902,OUT018,3185.853,9,Low Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDH14,17.1,1,141.1838,OUT013,2247.7408,31,Low Viz,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDA47,10.5,2,163.121,OUT013,1794.331,31,Viz,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDG12,6.635,3,121.3098,OUT045,2530.7058,16,,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
DRK49,14.15,1,41.4138,OUT013,812.276,31,Low Viz,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
FDD03,13.3,2,232.53,OUT046,699.09,21,Viz,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FDS52,8.89,1,102.4016,OUT017,2732.4432,11,Low Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDW39,12.792854228644991,1,176.937,OUT019,176.437,33,Low Viz,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
FDX34,12.792854228644991,2,121.7098,OUT027,4097.3332,33,Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDV11,9.1,3,173.2054,OUT045,3151.8972,16,,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
FDD17,7.5,1,239.0906,OUT049,5942.265,19,Low Viz,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FDZ16,16.85,0,192.4478,OUT017,4843.695,11,High Viz,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
FDZ46,7.485,2,109.0228,OUT035,2542.0244,14,Viz,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
DRA12,11.6,1,140.3154,OUT017,2552.6772,11,Low Viz,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
FDY58,11.65,1,227.0694,OUT018,1141.847,9,Low Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
NCF19,13.0,1,47.5034,OUT017,680.4476,11,Low Viz,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
DRJ13,12.65,1,159.0578,OUT045,2085.9514,16,Low Viz,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
FDB14,20.25,0,92.512,OUT010,186.424,20,High Viz,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
FDJ38,8.6,1,190.153,OUT035,3036.048,14,Low Viz,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
FDW11,12.6,1,62.7194,OUT017,866.8716,11,Low Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDL40,17.7,1,95.041,OUT035,868.869,14,Low Viz,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
DRI49,14.15,0,82.4276,OUT046,1137.1864,21,High Viz,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
FDV38,19.25,2,52.7956,OUT017,928.1252,11,Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
DRG23,8.88,2,151.7682,OUT013,762.341,31,Viz,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
NCP30,20.5,1,40.2822,OUT045,707.0796,16,Low Viz,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
FDY25,12.792854228644991,1,180.5976,OUT027,7968.2944,33,Low Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
NCH54,13.5,2,160.292,OUT046,1438.128,21,Viz,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
NCR53,12.792854228644991,0,224.4404,OUT027,6976.2524,33,High Viz,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDS52,8.89,1,101.7016,OUT010,101.2016,20,Low Viz,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
FDG02,7.855,1,188.5188,OUT018,952.094,9,Low Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
NCO26,7.235,2,116.0492,OUT046,1969.4364,21,Viz,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
FDH35,12.792854228644991,1,165.4526,OUT027,5262.4832,33,Low Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDB51,6.92,1,60.5852,OUT045,1314.2892,16,Low Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDX44,9.3,1,90.8172,OUT017,535.3032,11,Low Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
NCN07,18.5,1,132.1284,OUT010,263.6568,20,Low Viz,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
NCC31,8.02,1,154.5972,OUT035,1402.1748,14,Low Viz,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
NCX54,9.195,1,105.1622,OUT017,1693.7952,11,Low Viz,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
NCO55,12.8,2,105.5938,OUT045,2143.876,16,Viz,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
NCC30,16.6,1,177.6344,OUT049,2676.516,19,Low Viz,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
FDI16,14.0,3,53.064,OUT035,905.488,14,,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
FDP16,18.6,1,246.3802,OUT049,7370.406,19,Low Viz,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FDB11,16.0,1,226.8404,OUT035,6301.1312,14,Low Viz,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
NCB06,17.6,2,160.692,OUT035,1597.92,14,Viz,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDA45,21.25,0,178.237,OUT035,529.311,14,High Viz,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
NCO26,7.235,2,117.5492,OUT035,1969.4364,14,Viz,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
DRJ25,14.6,0,50.3692,OUT017,1034.6532,11,High Viz,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
FDR28,13.85,1,161.521,OUT018,1794.331,9,Low Viz,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
FDI04,13.65,2,197.6426,OUT018,2768.3964,9,Viz,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
DRK12,12.792854228644991,1,31.29,OUT027,898.83,33,Low Viz,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
FDX20,7.365,1,226.172,OUT046,3169.208,21,Low Viz,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
NCI18,18.35,1,223.5746,OUT018,3589.9936,9,Low Viz,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDB36,5.465,3,132.5626,OUT018,262.3252,9,,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
FDN13,18.6,0,99.8358,OUT017,1910.1802,11,High Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
DRD24,13.85,1,140.9154,OUT017,1701.7848,11,Low Viz,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
FDQ28,14.0,1,154.5656,OUT013,2471.4496,31,Low Viz,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDM22,14.0,1,54.764,OUT013,1331.6,31,Low Viz,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDR07,12.792854228644991,2,97.0094,OUT027,1808.9786,33,Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDV25,5.905,1,222.5456,OUT018,3315.684,9,Low Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
DRF49,7.27,2,114.2518,OUT046,2618.5914,21,Viz,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
FDW51,6.155,2,214.556,OUT046,2769.728,21,Viz,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
DRL01,19.5,2,233.4958,OUT017,5375.0034,11,Viz,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
FDP25,15.2,1,216.8824,OUT017,2838.9712,11,Low Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDL50,12.15,1,125.0046,OUT018,1743.0644,9,Low Viz,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
NCB30,12.792854228644991,1,198.8084,OUT027,5555.4352,33,Low Viz,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDW11,12.6,1,61.9194,OUT018,619.194,9,Low Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
NCM43,14.5,1,164.821,OUT035,2120.573,14,Low Viz,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
FDK44,16.6,2,173.0738,OUT017,3823.0236,11,Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDM15,11.8,1,151.4366,OUT013,1360.2294,31,Low Viz,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDS31,13.1,1,178.8318,OUT013,3969.4996,31,Low Viz,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDR47,17.85,3,196.5794,OUT010,585.2382,20,,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
FDB35,12.3,1,92.6804,OUT045,1010.6844,16,Low Viz,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
NCU05,11.8,2,81.4618,OUT010,161.1236,20,Viz,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
DRY23,12.792854228644991,0,42.1112,OUT019,42.6112,33,High Viz,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0
FDO24,11.1,0,157.4604,OUT045,3010.7476,16,High Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDQ28,12.792854228644991,1,153.0656,OUT027,6024.1584,33,Low Viz,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
FDV39,11.3,1,198.1426,OUT045,988.713,16,Low Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
NCO17,12.792854228644991,2,117.944,OUT019,239.688,33,Viz,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
FDU50,5.75,2,112.8176,OUT013,1374.2112,31,Viz,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDT12,12.792854228644991,1,226.8062,OUT027,4739.8302,33,Low Viz,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
FDK58,11.35,1,100.0016,OUT018,1012.016,9,Low Viz,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
FDO08,12.792854228644991,2,165.7526,OUT019,657.8104,33,Viz,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
NCW29,14.0,1,130.431,OUT049,778.986,19,Low Viz,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
FDE04,19.75,1,179.766,OUT045,2336.958,16,Low Viz,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
NCB19,6.525,2,85.0882,OUT049,2233.0932,19,Viz,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
FDV15,10.3,0,103.9648,OUT049,1661.8368,19,High Viz,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FDL58,5.78,2,264.7568,OUT049,4745.8224,19,Viz,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
FDA08,11.85,1,164.1526,OUT045,3124.5994,16,Low Viz,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
FDT43,16.35,1,50.1324,OUT018,467.3916,9,Low Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
NCX06,12.792854228644991,1,182.5976,OUT027,5070.7328,33,Low Viz,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDT20,10.5,1,37.6164,OUT046,540.6296,21,Low Viz,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FDB41,19.0,2,48.0718,OUT046,992.7078,21,Viz,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
NCN55,14.6,1,238.8538,OUT049,6008.845,19,Low Viz,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
FDE40,12.792854228644991,2,62.9194,OUT027,2105.2596,33,Viz,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
FDX49,12.792854228644991,2,232.63,OUT027,5359.69,33,Viz,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
NCM53,18.75,1,104.628,OUT045,745.696,16,Low Viz,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
FDE36,5.26,1,161.8868,OUT035,3275.736,14,Low Viz,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
FDN57,18.25,1,140.2154,OUT045,1701.7848,16,Low Viz,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDI24,12.792854228644991,2,177.937,OUT027,6704.606,33,Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDI19,15.1,1,242.7512,OUT046,4119.9704,21,Low Viz,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FDF24,15.5,1,81.5934,OUT010,327.5736,20,Low Viz,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
FDG52,13.65,2,45.7402,OUT049,780.9834,19,Viz,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
DRF36,16.1,1,189.3846,OUT045,3630.6074,16,Low Viz,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
FDS45,12.792854228644991,1,107.3622,OUT019,317.5866,33,Low Viz,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
FDX40,12.85,0,39.7164,OUT010,231.6984,20,High Viz,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
DRK12,9.5,1,32.99,OUT035,133.16,14,Low Viz,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
DRC27,13.8,1,245.1802,OUT035,5650.6446,14,Low Viz,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
FDL58,5.78,3,263.7568,OUT017,2636.568,11,,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
NCD30,19.7,1,96.0726,OUT045,1272.3438,16,Low Viz,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
NCZ54,14.65,3,161.5552,OUT010,324.9104,20,,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
